instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,humidity_pct,casual_share_pct,humidity_zero_flag
1,2011-01-01,1,0,1,False,6,False,2,0.344167,0.363625,0.805833,0.160446,331,654,985,80.58330000000001,33.60406091370559,False
2,2011-01-02,1,0,1,False,0,False,2,0.363478,0.353739,0.696087,0.248539,131,670,801,69.6087,16.354556803995006,False
3,2011-01-03,1,0,1,False,1,True,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,43.7273,8.895478131949593,False
4,2011-01-04,1,0,1,False,2,True,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,59.0435,6.9142125480153656,False
5,2011-01-05,1,0,1,False,3,True,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,43.695699999999995,5.125,False
6,2011-01-06,1,0,1,False,4,True,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,51.8261,5.47945205479452,False
7,2011-01-07,1,0,1,False,5,True,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,49.8696,9.801324503311259,False
8,2011-01-08,1,0,1,False,6,False,2,0.165,0.162254,0.535833,0.266804,68,891,959,53.5833,7.090719499478623,False
9,2011-01-09,1,0,1,False,0,False,1,0.138333,0.116175,0.434167,0.36195,54,768,822,43.416700000000006,6.569343065693431,False
10,2011-01-10,1,0,1,False,1,True,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,48.2917,3.1037093111279335,False
11,2011-01-11,1,0,1,False,2,True,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,68.6364,3.4045922406967537,False
12,2011-01-12,1,0,1,False,3,True,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,59.954499999999996,2.1514629948364887,False
13,2011-01-13,1,0,1,False,4,True,1,0.165,0.150883,0.470417,0.301,38,1368,1406,47.0417,2.7027027027027026,False
14,2011-01-14,1,0,1,False,5,True,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,53.7826,3.8001407459535534,False
15,2011-01-15,1,0,1,False,6,False,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,49.875,17.78846153846154,False
16,2011-01-16,1,0,1,False,0,False,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,48.375,20.84717607973422,False
17,2011-01-17,1,0,1,True,1,False,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,53.75,11.700000000000001,False
18,2011-01-18,1,0,1,False,2,True,2,0.216667,0.232333,0.861667,0.146775,9,674,683,86.16669999999999,1.3177159590043925,False
19,2011-01-19,1,0,1,False,3,True,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,74.1739,4.7272727272727275,False
20,2011-01-20,1,0,1,False,4,True,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,53.833299999999994,4.307213284898807,False
21,2011-01-21,1,0,1,False,5,True,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,45.7083,4.860661049902787,False
22,2011-01-22,1,0,1,False,6,False,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,40.0,9.480122324159021,False
23,2011-01-23,1,0,1,False,0,False,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,43.6522,15.212981744421908,False
24,2011-01-24,1,0,1,False,1,True,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,49.173899999999996,6.073446327683616,False
25,2011-01-25,1,0,1,False,2,True,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,61.695699999999995,9.370277078085643,False
26,2011-01-26,1,0,1,False,3,True,3,0.2175,0.2036,0.8625,0.29385,34,472,506,86.25,6.719367588932807,False
27,2011-01-27,1,0,1,False,4,True,1,0.195,0.2197,0.6875,0.113837,15,416,431,68.75,3.480278422273782,False
28,2011-01-28,1,0,1,False,5,True,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,79.30430000000001,3.2562125107112254,False
29,2011-01-29,1,0,1,False,6,False,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,65.17389999999999,11.202185792349727,False
30,2011-01-30,1,0,1,False,0,False,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,72.2174,12.773722627737227,False
31,2011-01-31,1,0,1,False,1,True,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,60.375,2.798134576948701,False
32,2011-02-01,1,0,2,False,2,True,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,82.9565,3.4558823529411766,False
33,2011-02-02,1,0,2,False,3,True,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,77.5417,4.718217562254259,False
34,2011-02-03,1,0,2,False,4,True,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,43.7826,3.9354838709677415,False
35,2011-02-04,1,0,2,False,5,True,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,58.521699999999996,5.152224824355972,False
36,2011-02-05,1,0,2,False,6,False,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,92.91669999999999,9.950248756218906,False
37,2011-02-06,1,0,2,False,0,False,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,56.833299999999994,21.811460258780038,False
38,2011-02-07,1,0,2,False,1,True,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,73.83330000000001,7.009345794392523,False
